source,title,price,location,size,listing_type,link
OpenSooq,Residential Land for Sale in Al Batinah Barka,"9,200 OMR",", Barka, 917882XX",,Property for Sale,https://om.opensooq.com/en/search/267095587
OpenSooq,215 m2 4 Bedrooms Villa for Sale in Muscat Misfah,"95,000 OMR",", Misfah, 799919XX",215 m²,Property for Sale,https://om.opensooq.com/en/search/265338197
OpenSooq,Residential Land for Sale in Muscat Al Khoud,"86,000 OMR",", Al Khoud, 799919XX",,Property for Sale,https://om.opensooq.com/en/search/265449353
OpenSooq,108 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,"53,000 OMR",", Bosher, Call",108 m²,Property for Sale,https://om.opensooq.com/en/search/266298509
OpenSooq,65 m2 1 Bedroom Apartments for Sale in Muscat Ghala,"26,000 OMR",", Ghala, 722000XX",65 m²,Property for Sale,https://om.opensooq.com/en/search/259074407
OpenSooq,شقق ومكاتب راقية (قيد الإنشاء)- الخوض 7,"22,900 OMR",", Bosher, 952096XX",40 m²,Property for Sale,https://om.opensooq.com/en/search/266943907
OpenSooq,503 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"155,000 OMR",", Al Khoud, 969339XX",503 m²,Property for Sale,https://om.opensooq.com/en/search/266135201
OpenSooq,Residential Land for Sale in Dhofar Salala,"32,000 OMR",", Salala, 925418XX",,Property for Sale,https://om.opensooq.com/en/search/266996631
OpenSooq,Commercial Land for Sale in Muscat Al Maabilah,"125,000 OMR",", Al Maabilah, 989773XX",,Property for Sale,https://om.opensooq.com/en/search/266340449
OpenSooq,فرصتك الذهبية! محل للبيع بسعر مغري في موقع استراتيجي- المعبيلة,"16,500 OMR",", Al Maabilah, 933322XX",52 m²,Property for Sale,https://om.opensooq.com/en/search/266083041
OpenSooq,Commercial Land for Sale in Muscat Al Maabilah,"115,000 OMR",", Al Maabilah, 989773XX",,Property for Sale,https://om.opensooq.com/en/search/266339993
OpenSooq,Residential Land for Sale in Muscat Al Khoud,"86,000 OMR",", Al Khoud, 953065XX",,Property for Sale,https://om.opensooq.com/en/search/266995677
OpenSooq,422 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,"80,000 OMR",", Barka, 955553XX",422 m²,Property for Sale,https://om.opensooq.com/en/search/265771997
OpenSooq,Residential Land for Sale in Al Batinah Saham,"7,900 OMR",", Saham, 953100XX",,Property for Sale,https://om.opensooq.com/en/search/266777515
OpenSooq,Commercial Land for Sale in Muscat Al Maabilah,"125,000 OMR",", Al Maabilah, 989773XX",,Property for Sale,https://om.opensooq.com/en/search/266339397
OpenSooq,Commercial Land for Sale in Muscat Ghala,"240,000 OMR",", Ghala, 955444XX",,Property for Sale,https://om.opensooq.com/en/search/266082041
OpenSooq,54 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,"47,500 OMR",", Madinat As Sultan Qaboos, 915716XX",54 m²,Property for Sale,https://om.opensooq.com/en/search/267047261
OpenSooq,Residential Land for Sale in Muscat Al Maabilah,"65,000 OMR",", Al Maabilah, 996662XX",,Property for Sale,https://om.opensooq.com/en/search/266239485
OpenSooq,97 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,"57,000 OMR",", Madinat As Sultan Qaboos, 915716XX",97 m²,Property for Sale,https://om.opensooq.com/en/search/267047073
OpenSooq,97 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,"57,000 OMR",", Madinat As Sultan Qaboos, 915716XX",97 m²,Property for Sale,https://om.opensooq.com/en/search/267047029
OpenSooq,Residential Land for Sale in Muscat Bosher,"48,000 OMR",", Bosher, 949999XX",,Property for Sale,https://om.opensooq.com/en/search/262049321
OpenSooq,132 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"31,000 OMR",", Al Maabilah, 967727XX",132 m²,Property for Sale,https://om.opensooq.com/en/search/266776239
OpenSooq,Residential Land for Sale in Muscat Al Khuwair,"300,000 OMR",", Al Khuwair, 977788XX",,Property for Sale,https://om.opensooq.com/en/search/266290625
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266881323
OpenSooq,Residential Land for Sale in Muscat Amerat,"38,000 OMR",", Amerat, 921022XX",,Property for Sale,https://om.opensooq.com/en/search/262433771
OpenSooq,61 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"24,500 OMR",", Bosher, 933322XX",61 m²,Property for Sale,https://om.opensooq.com/en/search/266081299
OpenSooq,Residential Land for Sale in Muscat Seeb,"13,900 OMR",", Seeb, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266776267
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266843643
OpenSooq,120 m2 Studio Townhouse for Sale in Al Batinah Saham,"26,000 OMR",", Saham, 952286XX",120 m²,Property for Sale,https://om.opensooq.com/en/search/264671861
OpenSooq,122 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"39,500 OMR",", Al Maabilah, 725372XX",122 m²,Property for Sale,https://om.opensooq.com/en/search/266290459
OpenSooq,Residential Land for Sale in Al Batinah Barka,"7,900 OMR",", Barka, 969666XX",,Property for Sale,https://om.opensooq.com/en/search/265765737
OpenSooq,Commercial Land for Sale in Muscat Amerat,"49,500 OMR",", Amerat, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775911
OpenSooq,For sale at Muscat hills 2 bedrooms apartment 135 Sqm ready to move,"97,000 OMR",", Muscat Hills, 725372XX",135 m²,Property for Sale,https://om.opensooq.com/en/search/265770289
OpenSooq,138 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"52,500 OMR",", Al Mawaleh, 725372XX",138 m²,Property for Sale,https://om.opensooq.com/en/search/265770167
OpenSooq,محل للبيع في المعبيلة مساحة 27.5 قريب من مطعم الشيف السعودي ومول مسقط بالاقساط علي 30 شهر,"23,000 OMR",", Al Maabilah, 725372XX",27 m²,Property for Sale,https://om.opensooq.com/en/search/266290057
OpenSooq,Residential Land for Sale in Al Sharqiya Al Kamil and Al Waafi,"8,500 OMR",", Al Kamil and Al Waafi, 927279XX",,Property for Sale,https://om.opensooq.com/en/search/266775305
OpenSooq,269 m2 4 Bedrooms Villa for Sale in Al Batinah Barka,"58,000 OMR",", Barka, 969339XX",269 m²,Property for Sale,https://om.opensooq.com/en/search/265544449
OpenSooq,64 m2 Studio Apartments for Sale in Muscat Al-Hail,"24,000 OMR",", Al-Hail, 978679XX",64 m²,Property for Sale,https://om.opensooq.com/en/search/259665297
OpenSooq,Residential Land for Sale in Muscat Amerat,"15,000 OMR",", Amerat, 911195XX",,Property for Sale,https://om.opensooq.com/en/search/265552099
OpenSooq,Residential Land for Sale in Muscat Amerat,"5,300 OMR",", Amerat, 951223XX",,Property for Sale,https://om.opensooq.com/en/search/266107209
OpenSooq,Residential Land for Sale in Muscat Amerat,"11,900 OMR",", Amerat, 951223XX",,Property for Sale,https://om.opensooq.com/en/search/266127991
OpenSooq,147 m2 3 Bedrooms Townhouse for Sale in Muscat Ruwi,"30,000 OMR",", Ruwi, 958484XX",147 m²,Property for Sale,https://om.opensooq.com/en/search/266237105
OpenSooq,65 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,"21,500 OMR",", Al Maabilah, 725372XX",65 m²,Property for Sale,https://om.opensooq.com/en/search/266288885
OpenSooq,Residential Land for Sale in Muscat Amerat,"19,500 OMR",", Amerat, 953065XX",,Property for Sale,https://om.opensooq.com/en/search/266560423
OpenSooq,Residential Land for Sale in Muscat Misfah,"25,500 OMR",", Misfah, 948889XX",,Property for Sale,https://om.opensooq.com/en/search/263908971
OpenSooq,106 m2 2 Bedrooms Apartments for Sale in Muscat Ghala,"45,000 OMR",", Ghala, 722264XX",106 m²,Property for Sale,https://om.opensooq.com/en/search/264753651
OpenSooq,محل تجاري للبيع في موقع مميز وفرصة استثمارية عالية وفريدة في مرتفعات غلا,"36,655 OMR",", Ghala, 722264XX",44 m²,Property for Sale,https://om.opensooq.com/en/search/264754223
OpenSooq,مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,"48,500 OMR",", Ghala, 722264XX",97 m²,Property for Sale,https://om.opensooq.com/en/search/264754417
OpenSooq,"محل تجاري للبيع خلف بانوراما مول, موقع استراتيجي وعائد استثماري عالي وفرصة مميزة لا تدع الفرصة تفوتك","34,000 OMR",", Ghubrah, 722264XX",34 m²,Property for Sale,https://om.opensooq.com/en/search/264754663
OpenSooq,محلات للبيع في الموالح بسعر ممتاز بالتقسيط - مشروع الزاهرة,"26,000 OMR",", Seeb, 992226XX",40 m²,Property for Sale,https://om.opensooq.com/en/search/265875333
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266881477
OpenSooq,378 m2 4 Bedrooms Villa for Sale in Muscat Qurm,"155,000 OMR",", Qurm, 725372XX",378 m²,Property for Sale,https://om.opensooq.com/en/search/266288287
OpenSooq,112 m2 3 Bedrooms Apartments for Sale in Muscat Al Khoud,"35,000 OMR",", Al Khoud, 911175XX",112 m²,Property for Sale,https://om.opensooq.com/en/search/266560885
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266881817
OpenSooq,350 m2 5 Bedrooms Villa for Sale in Muscat Al Mawaleh,"96,900 OMR",", Al Mawaleh, 949031XX",350 m²,Property for Sale,https://om.opensooq.com/en/search/265598619
